timestamp_utc,nav,benchmark_index,regime_bull,signal_json,target_position_json,current_positions_json,target_units_json,order_deltas_json
2026-04-09 13:32:00+00:00,99998.46026213812,0.9998513362493553,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": 11406, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": 1}"
2026-04-09 13:33:00+00:00,100004.01602194435,0.9997671904612977,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11406, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9930, ""USD_JPY"": -13333}","{""EUR_USD"": -1, ""GBP_USD"": -1}"
2026-04-09 13:34:00+00:00,100006.6576690483,0.9996750573247051,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9930, ""USD_JPY"": -13333}","{""EUR_USD"": 11404, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": -1, ""USD_JPY"": -1}"
2026-04-09 13:35:00+00:00,100008.5804064323,0.9997011864803784,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11404, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 11403, ""GBP_USD"": 9929, ""USD_JPY"": -13334}","{""EUR_USD"": -1, ""GBP_USD"": -1}"
2026-04-09 13:36:00+00:00,100012.33409413925,0.999622179839053,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11403, ""GBP_USD"": 9929, ""USD_JPY"": -13334}","{""EUR_USD"": 11402, ""GBP_USD"": 9929, ""USD_JPY"": -13334}","{""EUR_USD"": -1}"
2026-04-09 13:37:00+00:00,100010.42996995765,0.9996959854162161,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11402, ""GBP_USD"": 9929, ""USD_JPY"": -13334}","{""EUR_USD"": 11402, ""GBP_USD"": 9929, ""USD_JPY"": -13334}",{}
2026-04-09 13:38:00+00:00,100007.69259685281,0.9997817410574666,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11402, ""GBP_USD"": 9929, ""USD_JPY"": -13334}","{""EUR_USD"": 11403, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 13:39:00+00:00,100007.07688655009,0.9997689241493519,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11403, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 11403, ""GBP_USD"": 9930, ""USD_JPY"": -13334}",{}
2026-04-09 13:40:00+00:00,100005.94070781214,0.9997058302876665,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11403, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 11404, ""GBP_USD"": 9931, ""USD_JPY"": -13334}","{""EUR_USD"": 1, ""GBP_USD"": 1}"
2026-04-09 13:41:00+00:00,100008.34025303501,0.9996198269766937,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11404, ""GBP_USD"": 9931, ""USD_JPY"": -13334}","{""EUR_USD"": 11403, ""GBP_USD"": 9931, ""USD_JPY"": -13334}","{""EUR_USD"": -1}"
2026-04-09 13:42:00+00:00,100006.94245303501,0.9996190839675276,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11403, ""GBP_USD"": 9931, ""USD_JPY"": -13334}","{""EUR_USD"": 11404, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 1, ""GBP_USD"": -1}"
2026-04-09 13:43:00+00:00,100003.6613706608,0.9996795153797015,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11404, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": 11404, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""GBP_USD"": 2, ""USD_JPY"": 1}"
2026-04-09 13:44:00+00:00,100002.3333202122,0.9997723296080298,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11404, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11404, ""GBP_USD"": 9932, ""USD_JPY"": -13333}",{}
2026-04-09 13:45:00+00:00,100001.99555102842,0.9998096658186248,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11404, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": 1, ""GBP_USD"": -1}"
2026-04-09 13:46:00+00:00,99999.96582669209,0.9998146811304959,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9931, ""USD_JPY"": -13333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""GBP_USD"": 1}"
2026-04-09 13:47:00+00:00,100005.3958044976,0.9996930752969823,False,"{""EURUSD"": 1.0, ""GBPUSD"": 1.0, ""USDJPY"": -1.0}","{""EURUSD"": 0.3333333333333333, ""GBPUSD"": 0.3333333333333333, ""USDJPY"": -0.3333333333333333}","{""EUR_USD"": 11405, ""GBP_USD"": 9932, ""USD_JPY"": -13333}","{""EUR_USD"": 11404, ""GBP_USD"": 9930, ""USD_JPY"": -13334}","{""EUR_USD"": -1, ""GBP_USD"": -2, ""USD_JPY"": -1}"
